simulated_timestamp,customer_id,target_customer_id,table,operation,is_anomaly,anomaly_type
2026-07-20T09:39:06.204078,17,17,orders,SELECT,0,
2026-07-18T13:54:13.034842,8,8,orders,INSERT,0,
2026-07-22T09:07:04.011231,18,18,orders,SELECT,0,
2026-07-20T06:45:21.955124,20,20,orders,SELECT,0,
2026-07-22T16:29:18.051687,6,6,orders,INSERT,0,
2026-07-20T03:22:22.814803,14,14,orders,SELECT,0,
2026-07-20T13:10:47.499472,3,3,sessions,INSERT,0,
2026-07-22T08:18:31.401778,13,13,orders,UPDATE,0,
2026-07-18T08:34:18.206795,6,6,sessions,SELECT,0,
2026-07-22T05:06:13.404957,8,8,orders,SELECT,0,
2026-07-19T02:44:08.630098,5,5,sessions,SELECT,0,
2026-07-20T13:32:56.708794,2,2,sessions,SELECT,0,
2026-07-24T05:36:20.550207,7,15,orders,SELECT,1,bulk_scan
2026-07-24T05:36:20.550207,7,6,orders,SELECT,1,bulk_scan
2026-07-24T05:36:20.550207,7,4,orders,SELECT,1,bulk_scan
2026-07-24T05:36:20.550207,7,11,orders,SELECT,1,bulk_scan
2026-07-24T05:36:20.550207,7,2,orders,SELECT,1,bulk_scan
2026-07-24T05:36:20.550207,7,16,orders,SELECT,1,bulk_scan
2026-07-24T05:36:20.550207,7,1,orders,SELECT,1,bulk_scan
2026-07-24T05:36:20.550207,7,10,orders,SELECT,1,bulk_scan
2026-07-19T06:55:37.178950,9,9,sessions,INSERT,0,
2026-07-19T02:35:07.129072,11,11,orders,INSERT,0,
2026-07-18T18:33:10.219553,17,17,orders,SELECT,0,
2026-07-22T05:14:28.398312,18,18,sessions,SELECT,0,
2026-07-21T10:31:03.307554,13,13,orders,INSERT,0,
2026-07-21T09:51:06.606501,12,12,sessions,SELECT,0,
2026-07-24T16:30:02.570439,20,20,orders,UPDATE,0,
2026-07-24T08:48:35.822848,6,6,sessions,SELECT,0,
2026-07-22T03:28:09.523454,6,6,orders,SELECT,0,
2026-07-18T13:54:24.952449,5,5,sessions,SELECT,0,
2026-07-18T12:51:11.181602,7,7,orders,UPDATE,0,
2026-07-17T22:08:02.753166,5,5,orders,SELECT,0,
2026-07-23T04:18:17.003322,17,17,sessions,SELECT,0,
2026-07-24T11:36:44.973987,11,11,orders,INSERT,0,
2026-07-23T09:26:20.141008,18,18,customers,SELECT,1,unusual_table_combo
2026-07-23T09:26:20.141008,18,18,orders,SELECT,1,unusual_table_combo
2026-07-23T09:26:20.141008,18,18,sessions,SELECT,1,unusual_table_combo
2026-07-18T01:49:45.358491,18,18,orders,UPDATE,0,
2026-07-23T06:31:59.123050,5,5,sessions,SELECT,0,
2026-07-20T17:05:54.124077,5,5,sessions,INSERT,0,
2026-07-19T12:08:11.768003,17,17,sessions,SELECT,0,
2026-07-20T23:07:20.159362,1,1,sessions,SELECT,0,
2026-07-21T19:01:36.144382,4,4,orders,SELECT,0,
